KERNEL WIDTH, IMAGE WIDTH, MAPS, Runtime
9,10,1,307.020000
9,10,11,318.000000
9,10,21,329.000000
9,10,31,340.030000
9,10,41,360.000000
9,10,51,371.000000
9,10,61,382.220000
9,10,71,393.570000
9,10,81,413.020000
9,10,91,425.000000
9,10,101,436.000000
9,10,111,447.000000
9,10,121,467.000000
9,10,131,478.000000
9,10,141,489.000000
9,10,151,500.190000
9,10,161,520.000000
9,10,171,531.020000
9,10,181,542.550000
9,10,191,554.000000
9,10,201,573.190000
9,10,211,585.000000
9,10,221,596.000000
9,10,231,607.000000
9,10,241,627.000000
9,10,251,638.000000
9,10,261,649.150000
9,10,271,660.560000
9,10,281,680.000000
9,10,291,691.540000
9,10,301,703.000000
9,10,311,714.000000
9,10,321,734.000000
9,10,331,745.000000
9,10,341,756.000000
9,10,351,767.080000
9,10,361,787.000000
9,10,371,798.000000
9,10,381,809.360000
9,10,391,820.740000
9,10,401,840.010000
9,10,411,852.000000
9,10,421,863.000000
9,10,431,874.000000
9,10,441,894.000000
9,10,451,905.000000
9,10,461,916.010000
9,10,471,927.380000
9,10,481,947.000000
9,10,491,958.520000
9,10,501,969.840000
9,10,511,981.000000
9,10,521,1000.910000
9,10,531,1012.000000
9,10,541,1023.000000
9,10,551,1034.000000
9,10,561,1054.000000
9,10,571,1065.000000
9,10,581,1076.300000
9,10,591,1087.750000
9,10,601,1107.030000
9,10,611,1118.950000
9,10,621,1130.000000
9,10,631,1141.000000
9,10,641,1161.000000
9,10,651,1172.000000
9,10,661,1183.010000
9,10,671,1194.140000
9,10,681,1214.000000
9,10,691,1225.000000
9,10,701,1236.580000
9,10,711,1247.990000
9,10,721,1267.600000
9,10,731,1279.000000
9,10,741,1290.000000
9,10,751,1301.000000
9,10,761,1321.000000
9,10,771,1332.000000
9,10,781,1343.180000
9,10,791,1354.620000
9,10,801,1374.000000
9,10,811,1385.790000
9,10,821,1397.000000
9,10,831,1408.000000
9,10,841,1428.000000
9,10,851,1439.000000
9,10,861,1450.000000
9,10,871,1461.040000
9,10,881,1481.000000
9,10,891,1492.000000
9,10,901,1503.360000
9,10,911,1514.940000
9,10,921,1534.030000
9,10,931,1546.000000
9,10,941,1557.000000
9,10,951,1568.000000
9,10,961,1588.000000
9,10,971,1599.000000
9,10,981,1610.020000
9,10,991,1621.370000
9,10,1001,1641.000000
9,10,1011,1652.240000
9,10,1021,1663.900000
9,10,1031,1675.000000
9,10,1041,1695.000000
9,10,1051,1706.000000
9,10,1061,1717.000000
9,10,1071,1728.020000
9,10,1081,1748.000000
9,10,1091,1759.000000
9,10,1101,1770.320000
9,10,1111,1781.710000
9,10,1121,1801.020000
9,10,1131,1813.000000
9,10,1141,1824.000000
9,10,1151,1835.000000
9,10,1161,1855.000000
9,10,1171,1866.000000
9,10,1181,1877.000000
9,10,1191,1888.130000
9,10,1201,1908.000000
9,10,1211,1919.010000
9,10,1221,1930.620000
9,10,1231,1942.000000
9,10,1241,1961.870000
9,10,1251,1973.000000
9,10,1261,1984.000000
9,10,1271,1995.000000
9,10,1281,2015.000000
9,10,1291,2026.000000
9,10,1301,2037.080000
9,10,1311,2048.640000
9,10,1321,2068.000000
9,10,1331,2079.840000
9,10,1341,2091.000000
9,10,1351,2102.000000
9,10,1361,2122.000000
9,10,1371,2133.000000
9,10,1381,2144.000000
9,10,1391,2155.060000
9,10,1401,2175.000000
9,10,1411,2186.000000
9,10,1421,2197.320000
9,10,1431,2208.950000
9,10,1441,2228.030000
9,10,1451,2240.000000
9,10,1461,2251.000000
9,10,1471,2262.000000
9,10,1481,2282.000000
9,10,1491,2293.000000
9,10,1501,2304.010000
9,10,1511,2315.440000
9,10,1521,2335.000000
9,10,1531,2346.370000
9,10,1541,2357.830000
9,10,1551,2369.000000
9,10,1561,2389.000000
9,10,1571,2400.000000
9,10,1581,2411.000000
9,10,1591,2422.040000
9,10,1601,2442.000000
9,10,1611,2453.000000
9,10,1621,2464.210000
9,10,1631,2475.780000
9,10,1641,2495.000000
9,10,1651,2507.000000
9,10,1661,2518.000000
9,10,1671,2529.000000
9,10,1681,2549.000000
9,10,1691,2560.000000
9,10,1701,2571.020000
9,10,1711,2582.370000
9,10,1721,2602.000000
9,10,1731,2613.000000
9,10,1741,2624.620000
9,10,1751,2636.000000
9,10,1761,2655.890000
9,10,1771,2667.000000
9,10,1781,2678.000000
9,10,1791,2689.000000
9,10,1801,2709.000000
9,10,1811,2720.000000
9,10,1821,2731.070000
9,10,1831,2742.620000
9,10,1841,2762.000000
9,10,1851,2773.760000
9,10,1861,2785.000000
9,10,1871,2796.000000
9,10,1881,2816.000000
9,10,1891,2827.000000
9,10,1901,2838.000000
9,10,1911,2849.090000
9,10,1921,2869.000000
9,10,1931,2880.000000
9,10,1941,2891.350000
9,10,1951,2902.950000
9,10,1961,2922.270000
9,10,1971,2934.000000
9,10,1981,2945.000000
9,10,1991,2956.000000
9,10,2001,2976.000000
9,10,2011,2987.000000
9,10,2021,2998.000000
9,10,2031,3009.450000
9,10,2041,3029.000000
9,10,2051,3040.210000
9,10,2061,3051.900000
9,10,2071,3063.000000
9,10,2081,3082.970000
9,10,2091,3094.000000
9,10,2101,3105.000000
9,10,2111,3116.060000
9,10,2121,3136.000000
9,10,2131,3147.000000
9,10,2141,3158.250000
9,10,2151,3169.740000
9,10,2161,3189.010000
9,10,2171,3200.990000
9,10,2181,3212.000000
9,10,2191,3223.000000
9,10,2201,3243.000000
9,10,2211,3254.000000
9,10,2221,3265.000000
9,10,2231,3276.220000
9,10,2241,3296.000000
9,10,2251,3307.000000
9,10,2261,3318.610000
9,10,2271,3330.000000
9,10,2281,3349.880000
9,10,2291,3361.000000
9,10,2301,3372.000000
9,10,2311,3383.000000
9,10,2321,3403.000000
9,10,2331,3414.000000
9,10,2341,3425.150000
9,10,2351,3436.610000
9,10,2361,3456.020000
9,10,2371,3467.810000
9,10,2381,3479.000000
9,10,2391,3490.000000
9,10,2401,3510.000000
9,10,2411,3521.000000
9,10,2421,3532.000000
9,10,2431,3543.080000
9,10,2441,3563.000000
9,10,2451,3574.000000
9,10,2461,3585.340000
9,10,2471,3596.970000
9,10,2481,3616.200000
9,10,2491,3628.000000
9,10,2501,3639.000000
9,10,2511,3650.000000
9,10,2521,3670.000000
9,10,2531,3681.000000
9,10,2541,3692.010000
9,10,2551,3703.410000
9,10,2561,3723.000000
9,10,2571,3734.260000
9,10,2581,3745.990000
9,10,2591,3757.000000
9,10,2601,3777.000000
9,10,2611,3788.000000
9,10,2621,3799.000000
9,10,2631,3810.000000
9,10,2641,3830.000000
9,10,2651,3841.000000
9,10,2661,3852.270000
9,10,2671,3863.780000
9,10,2681,3883.220000
9,10,2691,3894.950000
9,10,2701,3906.000000
9,10,2711,3917.000000
9,10,2721,3937.000000
9,10,2731,3948.000000
9,10,2741,3959.010000
9,10,2751,3970.180000
9,10,2761,3990.000000
9,10,2771,4001.020000
9,10,2781,4012.650000
9,10,2791,4024.000000
9,10,2801,4044.000000
9,10,2811,4055.000000
9,10,2821,4066.000000
9,10,2831,4077.000000
9,10,2841,4097.000000
9,10,2851,4108.000000
9,10,2861,4119.170000
9,10,2871,4130.610000
9,10,2881,4150.010000
9,10,2891,4161.740000
9,10,2901,4173.000000
9,10,2911,4184.000000
9,10,2921,4204.000000
9,10,2931,4215.000000
9,10,2941,4226.000000
9,10,2951,4237.050000
9,10,2961,4257.000000
9,10,2971,4268.000000
9,10,2981,4279.360000
9,10,2991,4290.940000
9,10,3001,4310.350000
9,10,3011,4322.000000
9,10,3021,4333.000000
9,10,3031,4344.000000
9,10,3041,4364.000000
9,10,3051,4375.000000
9,10,3061,4386.000000
9,10,3071,4397.380000
9,10,3081,4417.000000
9,10,3091,4428.760000
9,10,3101,4440.000000
9,10,3111,4451.000000
9,10,3121,4471.000000
9,10,3131,4482.000000
9,10,3141,4493.000000
9,10,3151,4504.020000
9,10,3161,4524.000000
9,10,3171,4535.000000
9,10,3181,4546.260000
9,10,3191,4557.930000
9,10,3201,4577.010000
9,10,3211,4589.000000
9,10,3221,4600.000000
9,10,3231,4611.000000
9,10,3241,4631.000000
9,10,3251,4642.000000
9,10,3261,4653.000000
9,10,3271,4664.150000
9,10,3281,4684.000000
9,10,3291,4695.010000
9,10,3301,4706.670000
9,10,3311,4718.000000
9,10,3321,4737.860000
9,10,3331,4749.000000
9,10,3341,4760.000000
9,10,3351,4771.000000
9,10,3361,4791.000000
